,Images,Original Age,Original Gender,Grayscale Age,Grayscale Gender,Age Difference,Gender Difference,True Age,Original Age Bucket,Grayscale Age Bucket
90, female white old,79,Female,74,Female,1.0675675675675675,0,65+,65+,65+
91, male white old,86,Male,74,Male,1.162162162162162,0,65+,65+,65+
92, male white child,10,Male,10,Male,1.0,0,0-12,0-12,0-12
93, female white adult,25,Female,32,Female,0.78125,0,19-34,19-34,19-34
94, female white middle-age,59,Female,54,Female,1.0925925925925926,0,35-54,65+,65+
95, male white teen,21,Male,23,Male,0.9130434782608695,0,12-18,19-34,19-34
96, male white middle-age,53,Male,52,Male,1.0192307692307692,0,35-54,35-54,35-54
97, female white teen,25,Female,24,Female,1.0416666666666667,0,12-18,19-34,19-34
98, female white child,34,Female,40,Female,0.85,0,0-12,35-54,35-54
99, male white adult,26,Male,30,Male,0.8666666666666667,0,19-34,19-34,19-34
