,Images,Original Age,Original Gender,Grayscale Age,Grayscale Gender,Age Difference,Gender Difference,True Age,Original Age Bucket,Grayscale Age Bucket
81, male white teen,19,Male,20,Male,0.95,0,12-18,19-34,19-34
82, female black adult,36,Female,25,Female,1.44,0,19-34,35-54,19-34
83, male black child,19,Female,18,Female,1.0555555555555556,0,0-12,19-34,19-34
84, male black teen,20,Male,19,Male,1.0526315789473684,0,12-18,19-34,19-34
85, female black middle-age,73,Female,63,Female,1.1587301587301588,0,35-54,65+,65+
86, male white child,19,Male,22,Female,0.8636363636363636,2,0-12,19-34,19-34
87, female black adult,57,Female,55,Female,1.0363636363636364,0,19-34,65+,65+
88, female white middle-age,72,Female,70,Female,1.0285714285714285,0,35-54,65+,65+
89, female white adult,46,Female,46,Female,1.0,0,19-34,35-54,35-54
90, male black child,6,Male,13,Male,0.46153846153846156,0,0-12,0-12,12-18
91, male white teen,22,Male,20,Male,1.1,0,12-18,19-34,19-34
92, male black old,80,Male,70,Male,1.1428571428571428,0,65+,65+,65+
93, male white old,69,Male,76,Male,0.9078947368421053,0,65+,65+,65+
94, male black old,78,Male,70,Male,1.1142857142857143,0,65+,65+,65+
95, male white old,80,Male,80,Male,1.0,0,65+,65+,65+
96, female white old,83,Female,82,Female,1.0121951219512195,0,65+,65+,65+
97, female black old,75,Female,68,Female,1.1029411764705883,0,65+,65+,65+
98, female black old,82,Male,76,Female,1.0789473684210527,2,65+,65+,65+
99, female white old,80,Female,79,Female,1.0126582278481013,0,65+,65+,65+
